gene	cosmic	year	pubmed
BRAF	53957	2019	140
BRAF	53957	2018	152
BRAF	53957	2017	136
BRAF	53957	2016	107
BRAF	53957	2015	97
BRAF	53957	2014	42
BRAF	53957	2013	19
BRAF	53957	2012	7
BRAF	53957	2011	1
BRAF	53957	2010	1
JAK2	50768	2019	17
JAK2	50768	2018	24
JAK2	50768	2017	22
JAK2	50768	2016	19
JAK2	50768	2015	11
JAK2	50768	2014	5
JAK2	50768	2013	6
JAK2	50768	2012	4
JAK2	50768	2010	2
KRAS	45698	2019	157
KRAS	45698	2018	167
KRAS	45698	2017	150
KRAS	45698	2016	122
KRAS	45698	2015	115
KRAS	45698	2014	47
KRAS	45698	2013	16
KRAS	45698	2012	10
KRAS	45698	2011	2
KRAS	45698	2010	3
TP53	43506	2019	235
TP53	43506	2018	267
TP53	43506	2017	193
TP53	43506	2016	194
TP53	43506	2015	151
TP53	43506	2014	61
TP53	43506	2013	28
TP53	43506	2012	11
TP53	43506	2011	3
TP53	43506	2010	1
TP53	43506	2009	1
EGFR	30137	2019	179
EGFR	30137	2018	223
EGFR	30137	2017	169
EGFR	30137	2016	148
EGFR	30137	2015	101
EGFR	30137	2014	58
EGFR	30137	2013	27
EGFR	30137	2012	16
EGFR	30137	2011	5
EGFR	30137	2010	3
FLT3	18134	2019	23
FLT3	18134	2018	23
FLT3	18134	2017	21
FLT3	18134	2016	21
FLT3	18134	2015	19
FLT3	18134	2014	5
FLT3	18134	2013	4
FLT3	18134	2012	3
FLT3	18134	2011	1
FLT3	18134	2010	1
PIK3CA	15085	2019	104
PIK3CA	15085	2018	122
PIK3CA	15085	2017	115
PIK3CA	15085	2016	109
PIK3CA	15085	2015	77
PIK3CA	15085	2014	35
PIK3CA	15085	2013	9
PIK3CA	15085	2012	3
PIK3CA	15085	2010	1
TERT	11733	2019	38
TERT	11733	2018	26
TERT	11733	2017	36
TERT	11733	2016	16
TERT	11733	2015	8
TERT	11733	2014	6
TERT	11733	2013	2
TERT	11733	2012	1
TERT	11733	2011	1
IDH1	10422	2019	29
IDH1	10422	2018	28
IDH1	10422	2017	29
IDH1	10422	2016	22
IDH1	10422	2015	16
IDH1	10422	2014	7
IDH1	10422	2013	6
IDH1	10422	2012	4
IDH1	10422	2011	4
IDH1	10422	2010	1
IDH1	10422	2008	1
APC	9977	2019	45
APC	9977	2018	49
APC	9977	2017	51
APC	9977	2016	35
APC	9977	2015	47
APC	9977	2014	12
APC	9977	2013	5
APC	9977	2012	2
APC	9977	2010	1
APC	9977	2008	1
KIT	9739	2019	69
KIT	9739	2018	104
KIT	9739	2017	76
KIT	9739	2016	75
KIT	9739	2015	63
KIT	9739	2014	35
KIT	9739	2013	24
KIT	9739	2012	9
KIT	9739	2011	4
KIT	9739	2010	3
KIT	9739	2009	2
CTNNB1	7791	2019	34
CTNNB1	7791	2018	33
CTNNB1	7791	2017	28
CTNNB1	7791	2016	20
CTNNB1	7791	2015	21
CTNNB1	7791	2014	5
CTNNB1	7791	2013	3
CTNNB1	7791	2012	1
NRAS	7140	2019	62
NRAS	7140	2018	73
NRAS	7140	2017	73
NRAS	7140	2016	50
NRAS	7140	2015	49
NRAS	7140	2014	26
NRAS	7140	2013	7
NRAS	7140	2012	1
NRAS	7140	2011	1
NRAS	7140	2010	1
NRAS	7140	2009	1
NPM1	6551	2019	13
NPM1	6551	2018	18
NPM1	6551	2017	13
NPM1	6551	2016	10
NPM1	6551	2015	11
NPM1	6551	2014	5
NPM1	6551	2013	2
NPM1	6551	2012	2
NPM1	6551	2011	1
NPM1	6551	2010	1
NPM1	6551	2009	1
CDKN2A	6385	2019	46
CDKN2A	6385	2018	59
CDKN2A	6385	2017	60
CDKN2A	6385	2016	45
CDKN2A	6385	2015	31
CDKN2A	6385	2014	16
CDKN2A	6385	2013	9
CDKN2A	6385	2012	5
NOTCH1	6037	2019	11
NOTCH1	6037	2018	30
NOTCH1	6037	2017	23
NOTCH1	6037	2016	23
NOTCH1	6037	2015	21
NOTCH1	6037	2014	15
NOTCH1	6037	2013	11
NOTCH1	6037	2012	4
NOTCH1	6037	2011	1
PTEN	5840	2019	54
PTEN	5840	2018	77
PTEN	5840	2017	65
PTEN	5840	2016	58
PTEN	5840	2015	42
PTEN	5840	2014	23
PTEN	5840	2013	15
PTEN	5840	2012	2
PTEN	5840	2011	2
MUC16	5639	2019	2
MUC16	5639	2018	1
MUC16	5639	2017	1
FGFR3	4691	2019	16
FGFR3	4691	2018	23
FGFR3	4691	2017	26
FGFR3	4691	2016	13
FGFR3	4691	2015	12
FGFR3	4691	2014	7
FGFR3	4691	2013	4
FGFR3	4691	2012	2
TET2	4687	2019	32
TET2	4687	2018	20
TET2	4687	2017	25
TET2	4687	2016	27
TET2	4687	2015	12
TET2	4687	2014	6
TET2	4687	2013	6
TET2	4687	2012	6
TET2	4687	2011	2
TET2	4687	2010	3
