gene	cosmic	year	pubmed
BRAF	53957	2020	3
BRAF	53957	2019	19811
BRAF	53957	2018	30180
BRAF	53957	2017	29996
BRAF	53957	2016	28025
BRAF	53957	2015	25647
BRAF	53957	2014	22421
BRAF	53957	2013	17845
BRAF	53957	2012	16673
BRAF	53957	2011	15115
BRAF	53957	2010	13497
BRAF	53957	2009	12099
BRAF	53957	2008	10919
BRAF	53957	2007	9990
BRAF	53957	2006	8913
BRAF	53957	2005	8197
BRAF	53957	2004	6432
BRAF	53957	2003	4690
BRAF	53957	2002	3288
BRAF	53957	2001	2237
BRAF	53957	2000	1505
BRAF	53957	1999	834
BRAF	53957	1998	682
BRAF	53957	1997	346
BRAF	53957	1996	304
BRAF	53957	1995	197
BRAF	53957	1994	166
BRAF	53957	1993	181
BRAF	53957	1992	163
BRAF	53957	1991	196
BRAF	53957	1990	125
BRAF	53957	1989	60
BRAF	53957	1988	11
BRAF	53957	1987	10
BRAF	53957	1986	3
BRAF	53957	1984	1
BRAF	53957	1965	1
BRAF	53957	1964	3
BRAF	53957	1963	2
BRAF	53957	1962	1
BRAF	53957	1961	1
BRAF	53957	1960	1
BRAF	53957	1959	1
BRAF	53957	1958	2
JAK2	50768	2020	3
JAK2	50768	2019	19811
JAK2	50768	2018	30180
JAK2	50768	2017	29996
JAK2	50768	2016	28025
JAK2	50768	2015	25647
JAK2	50768	2014	22421
JAK2	50768	2013	17845
JAK2	50768	2012	16673
JAK2	50768	2011	15115
JAK2	50768	2010	13497
JAK2	50768	2009	12099
JAK2	50768	2008	10919
JAK2	50768	2007	9990
JAK2	50768	2006	8913
JAK2	50768	2005	8197
JAK2	50768	2004	6432
JAK2	50768	2003	4690
JAK2	50768	2002	3288
JAK2	50768	2001	2237
JAK2	50768	2000	1505
JAK2	50768	1999	834
JAK2	50768	1998	682
JAK2	50768	1997	346
JAK2	50768	1996	304
JAK2	50768	1995	197
JAK2	50768	1994	166
JAK2	50768	1993	181
JAK2	50768	1992	163
JAK2	50768	1991	196
JAK2	50768	1990	125
JAK2	50768	1989	60
JAK2	50768	1988	11
JAK2	50768	1987	10
JAK2	50768	1986	3
JAK2	50768	1984	1
JAK2	50768	1965	1
JAK2	50768	1964	3
JAK2	50768	1963	2
JAK2	50768	1962	1
JAK2	50768	1961	1
JAK2	50768	1960	1
JAK2	50768	1959	1
JAK2	50768	1958	2
KRAS	45698	2020	3
KRAS	45698	2019	19811
KRAS	45698	2018	30180
KRAS	45698	2017	29996
KRAS	45698	2016	28025
KRAS	45698	2015	25647
KRAS	45698	2014	22421
KRAS	45698	2013	17845
KRAS	45698	2012	16673
KRAS	45698	2011	15115
KRAS	45698	2010	13497
KRAS	45698	2009	12099
KRAS	45698	2008	10919
KRAS	45698	2007	9990
KRAS	45698	2006	8913
KRAS	45698	2005	8197
KRAS	45698	2004	6432
KRAS	45698	2003	4690
KRAS	45698	2002	3288
KRAS	45698	2001	2237
KRAS	45698	2000	1505
KRAS	45698	1999	834
KRAS	45698	1998	682
KRAS	45698	1997	346
KRAS	45698	1996	304
KRAS	45698	1995	197
KRAS	45698	1994	166
KRAS	45698	1993	181
KRAS	45698	1992	163
KRAS	45698	1991	196
KRAS	45698	1990	125
KRAS	45698	1989	60
KRAS	45698	1988	11
KRAS	45698	1987	10
KRAS	45698	1986	3
KRAS	45698	1984	1
KRAS	45698	1965	1
KRAS	45698	1964	3
KRAS	45698	1963	2
KRAS	45698	1962	1
KRAS	45698	1961	1
KRAS	45698	1960	1
KRAS	45698	1959	1
KRAS	45698	1958	2
TP53	43506	2020	3
TP53	43506	2019	19811
TP53	43506	2018	30180
TP53	43506	2017	29996
TP53	43506	2016	28025
TP53	43506	2015	25647
TP53	43506	2014	22421
TP53	43506	2013	17845
TP53	43506	2012	16673
TP53	43506	2011	15115
TP53	43506	2010	13497
TP53	43506	2009	12099
TP53	43506	2008	10919
TP53	43506	2007	9990
TP53	43506	2006	8913
TP53	43506	2005	8197
TP53	43506	2004	6432
TP53	43506	2003	4690
TP53	43506	2002	3288
TP53	43506	2001	2237
TP53	43506	2000	1505
TP53	43506	1999	834
TP53	43506	1998	682
TP53	43506	1997	346
TP53	43506	1996	304
TP53	43506	1995	197
TP53	43506	1994	166
TP53	43506	1993	181
TP53	43506	1992	163
TP53	43506	1991	196
TP53	43506	1990	125
TP53	43506	1989	60
TP53	43506	1988	11
TP53	43506	1987	10
TP53	43506	1986	3
TP53	43506	1984	1
TP53	43506	1965	1
TP53	43506	1964	3
TP53	43506	1963	2
TP53	43506	1962	1
TP53	43506	1961	1
TP53	43506	1960	1
TP53	43506	1959	1
TP53	43506	1958	2
EGFR	30137	2020	3
EGFR	30137	2019	19811
EGFR	30137	2018	30180
EGFR	30137	2017	29996
EGFR	30137	2016	28025
EGFR	30137	2015	25647
EGFR	30137	2014	22421
EGFR	30137	2013	17845
EGFR	30137	2012	16673
EGFR	30137	2011	15115
EGFR	30137	2010	13497
EGFR	30137	2009	12099
EGFR	30137	2008	10919
EGFR	30137	2007	9990
EGFR	30137	2006	8913
EGFR	30137	2005	8197
EGFR	30137	2004	6432
EGFR	30137	2003	4690
EGFR	30137	2002	3288
EGFR	30137	2001	2237
EGFR	30137	2000	1505
EGFR	30137	1999	834
EGFR	30137	1998	682
EGFR	30137	1997	346
EGFR	30137	1996	304
EGFR	30137	1995	197
EGFR	30137	1994	166
EGFR	30137	1993	181
EGFR	30137	1992	163
EGFR	30137	1991	196
EGFR	30137	1990	125
EGFR	30137	1989	60
EGFR	30137	1988	11
EGFR	30137	1987	10
EGFR	30137	1986	3
EGFR	30137	1984	1
EGFR	30137	1965	1
EGFR	30137	1964	3
EGFR	30137	1963	2
EGFR	30137	1962	1
EGFR	30137	1961	1
EGFR	30137	1960	1
EGFR	30137	1959	1
EGFR	30137	1958	2
FLT3	18134	2020	3
FLT3	18134	2019	19811
FLT3	18134	2018	30180
FLT3	18134	2017	29996
FLT3	18134	2016	28025
FLT3	18134	2015	25647
FLT3	18134	2014	22421
FLT3	18134	2013	17845
FLT3	18134	2012	16673
FLT3	18134	2011	15115
FLT3	18134	2010	13497
FLT3	18134	2009	12099
FLT3	18134	2008	10919
FLT3	18134	2007	9990
FLT3	18134	2006	8913
FLT3	18134	2005	8197
FLT3	18134	2004	6432
FLT3	18134	2003	4690
FLT3	18134	2002	3288
FLT3	18134	2001	2237
FLT3	18134	2000	1505
FLT3	18134	1999	834
FLT3	18134	1998	682
FLT3	18134	1997	346
FLT3	18134	1996	304
FLT3	18134	1995	197
FLT3	18134	1994	166
FLT3	18134	1993	181
FLT3	18134	1992	163
FLT3	18134	1991	196
FLT3	18134	1990	125
FLT3	18134	1989	60
FLT3	18134	1988	11
FLT3	18134	1987	10
FLT3	18134	1986	3
FLT3	18134	1984	1
FLT3	18134	1965	1
FLT3	18134	1964	3
FLT3	18134	1963	2
FLT3	18134	1962	1
FLT3	18134	1961	1
FLT3	18134	1960	1
FLT3	18134	1959	1
FLT3	18134	1958	2
PIK3CA	15085	2020	3
PIK3CA	15085	2019	19811
PIK3CA	15085	2018	30180
PIK3CA	15085	2017	29996
PIK3CA	15085	2016	28025
PIK3CA	15085	2015	25647
PIK3CA	15085	2014	22421
PIK3CA	15085	2013	17845
PIK3CA	15085	2012	16673
PIK3CA	15085	2011	15115
PIK3CA	15085	2010	13497
PIK3CA	15085	2009	12099
PIK3CA	15085	2008	10919
PIK3CA	15085	2007	9990
PIK3CA	15085	2006	8913
PIK3CA	15085	2005	8197
PIK3CA	15085	2004	6432
PIK3CA	15085	2003	4690
PIK3CA	15085	2002	3288
PIK3CA	15085	2001	2237
PIK3CA	15085	2000	1505
PIK3CA	15085	1999	834
PIK3CA	15085	1998	682
PIK3CA	15085	1997	346
PIK3CA	15085	1996	304
PIK3CA	15085	1995	197
PIK3CA	15085	1994	166
PIK3CA	15085	1993	181
PIK3CA	15085	1992	163
PIK3CA	15085	1991	196
PIK3CA	15085	1990	125
PIK3CA	15085	1989	60
PIK3CA	15085	1988	11
PIK3CA	15085	1987	10
PIK3CA	15085	1986	3
PIK3CA	15085	1984	1
PIK3CA	15085	1965	1
PIK3CA	15085	1964	3
PIK3CA	15085	1963	2
PIK3CA	15085	1962	1
PIK3CA	15085	1961	1
PIK3CA	15085	1960	1
PIK3CA	15085	1959	1
PIK3CA	15085	1958	2
TERT	11733	2020	3
TERT	11733	2019	19811
TERT	11733	2018	30180
TERT	11733	2017	29996
TERT	11733	2016	28025
TERT	11733	2015	25647
TERT	11733	2014	22421
TERT	11733	2013	17845
TERT	11733	2012	16673
TERT	11733	2011	15115
TERT	11733	2010	13497
TERT	11733	2009	12099
TERT	11733	2008	10919
TERT	11733	2007	9990
TERT	11733	2006	8913
TERT	11733	2005	8197
TERT	11733	2004	6432
TERT	11733	2003	4690
TERT	11733	2002	3288
TERT	11733	2001	2237
TERT	11733	2000	1505
TERT	11733	1999	834
TERT	11733	1998	682
TERT	11733	1997	346
TERT	11733	1996	304
TERT	11733	1995	197
TERT	11733	1994	166
TERT	11733	1993	181
TERT	11733	1992	163
TERT	11733	1991	196
TERT	11733	1990	125
TERT	11733	1989	60
TERT	11733	1988	11
TERT	11733	1987	10
TERT	11733	1986	3
TERT	11733	1984	1
TERT	11733	1965	1
TERT	11733	1964	3
TERT	11733	1963	2
TERT	11733	1962	1
TERT	11733	1961	1
TERT	11733	1960	1
TERT	11733	1959	1
TERT	11733	1958	2
IDH1	10422	2020	3
IDH1	10422	2019	19811
IDH1	10422	2018	30180
IDH1	10422	2017	29996
IDH1	10422	2016	28025
IDH1	10422	2015	25647
IDH1	10422	2014	22421
IDH1	10422	2013	17845
IDH1	10422	2012	16673
IDH1	10422	2011	15115
IDH1	10422	2010	13497
IDH1	10422	2009	12099
IDH1	10422	2008	10919
IDH1	10422	2007	9990
IDH1	10422	2006	8913
IDH1	10422	2005	8197
IDH1	10422	2004	6432
IDH1	10422	2003	4690
IDH1	10422	2002	3288
IDH1	10422	2001	2237
IDH1	10422	2000	1505
IDH1	10422	1999	834
IDH1	10422	1998	682
IDH1	10422	1997	346
IDH1	10422	1996	304
IDH1	10422	1995	197
IDH1	10422	1994	166
IDH1	10422	1993	181
IDH1	10422	1992	163
IDH1	10422	1991	196
IDH1	10422	1990	125
IDH1	10422	1989	60
IDH1	10422	1988	11
IDH1	10422	1987	10
IDH1	10422	1986	3
IDH1	10422	1984	1
IDH1	10422	1965	1
IDH1	10422	1964	3
IDH1	10422	1963	2
IDH1	10422	1962	1
IDH1	10422	1961	1
IDH1	10422	1960	1
IDH1	10422	1959	1
IDH1	10422	1958	2
APC	9977	2020	3
APC	9977	2019	19811
APC	9977	2018	30180
APC	9977	2017	29996
APC	9977	2016	28025
APC	9977	2015	25647
APC	9977	2014	22421
APC	9977	2013	17845
APC	9977	2012	16673
APC	9977	2011	15115
APC	9977	2010	13497
APC	9977	2009	12099
APC	9977	2008	10919
APC	9977	2007	9990
APC	9977	2006	8913
APC	9977	2005	8197
APC	9977	2004	6432
APC	9977	2003	4690
APC	9977	2002	3288
APC	9977	2001	2237
APC	9977	2000	1505
APC	9977	1999	834
APC	9977	1998	682
APC	9977	1997	346
APC	9977	1996	304
APC	9977	1995	197
APC	9977	1994	166
APC	9977	1993	181
APC	9977	1992	163
APC	9977	1991	196
APC	9977	1990	125
APC	9977	1989	60
APC	9977	1988	11
APC	9977	1987	10
APC	9977	1986	3
APC	9977	1984	1
APC	9977	1965	1
APC	9977	1964	3
APC	9977	1963	2
APC	9977	1962	1
APC	9977	1961	1
APC	9977	1960	1
APC	9977	1959	1
APC	9977	1958	2
KIT	9739	2020	3
KIT	9739	2019	19811
KIT	9739	2018	30180
KIT	9739	2017	29996
KIT	9739	2016	28025
KIT	9739	2015	25647
KIT	9739	2014	22421
KIT	9739	2013	17845
KIT	9739	2012	16673
KIT	9739	2011	15115
KIT	9739	2010	13497
KIT	9739	2009	12099
KIT	9739	2008	10919
KIT	9739	2007	9990
KIT	9739	2006	8913
KIT	9739	2005	8197
KIT	9739	2004	6432
KIT	9739	2003	4690
KIT	9739	2002	3288
KIT	9739	2001	2237
KIT	9739	2000	1505
KIT	9739	1999	834
KIT	9739	1998	682
KIT	9739	1997	346
KIT	9739	1996	304
KIT	9739	1995	197
KIT	9739	1994	166
KIT	9739	1993	181
KIT	9739	1992	163
KIT	9739	1991	196
KIT	9739	1990	125
KIT	9739	1989	60
KIT	9739	1988	11
KIT	9739	1987	10
KIT	9739	1986	3
KIT	9739	1984	1
KIT	9739	1965	1
KIT	9739	1964	3
KIT	9739	1963	2
KIT	9739	1962	1
KIT	9739	1961	1
KIT	9739	1960	1
KIT	9739	1959	1
KIT	9739	1958	2
CTNNB1	7791	2020	3
CTNNB1	7791	2019	19811
CTNNB1	7791	2018	30180
CTNNB1	7791	2017	29996
CTNNB1	7791	2016	28025
CTNNB1	7791	2015	25647
CTNNB1	7791	2014	22421
CTNNB1	7791	2013	17845
CTNNB1	7791	2012	16673
CTNNB1	7791	2011	15115
CTNNB1	7791	2010	13497
CTNNB1	7791	2009	12099
CTNNB1	7791	2008	10919
CTNNB1	7791	2007	9990
CTNNB1	7791	2006	8913
CTNNB1	7791	2005	8197
CTNNB1	7791	2004	6432
CTNNB1	7791	2003	4690
CTNNB1	7791	2002	3288
CTNNB1	7791	2001	2237
CTNNB1	7791	2000	1505
CTNNB1	7791	1999	834
CTNNB1	7791	1998	682
CTNNB1	7791	1997	346
CTNNB1	7791	1996	304
CTNNB1	7791	1995	197
CTNNB1	7791	1994	166
CTNNB1	7791	1993	181
CTNNB1	7791	1992	163
CTNNB1	7791	1991	196
CTNNB1	7791	1990	125
CTNNB1	7791	1989	60
CTNNB1	7791	1988	11
CTNNB1	7791	1987	10
CTNNB1	7791	1986	3
CTNNB1	7791	1984	1
CTNNB1	7791	1965	1
CTNNB1	7791	1964	3
CTNNB1	7791	1963	2
CTNNB1	7791	1962	1
CTNNB1	7791	1961	1
CTNNB1	7791	1960	1
CTNNB1	7791	1959	1
CTNNB1	7791	1958	2
NRAS	7140	2020	3
NRAS	7140	2019	19811
NRAS	7140	2018	30180
NRAS	7140	2017	29996
NRAS	7140	2016	28025
NRAS	7140	2015	25647
NRAS	7140	2014	22421
NRAS	7140	2013	17845
NRAS	7140	2012	16673
NRAS	7140	2011	15115
NRAS	7140	2010	13497
NRAS	7140	2009	12099
NRAS	7140	2008	10919
NRAS	7140	2007	9990
NRAS	7140	2006	8913
NRAS	7140	2005	8197
NRAS	7140	2004	6432
NRAS	7140	2003	4690
NRAS	7140	2002	3288
NRAS	7140	2001	2237
NRAS	7140	2000	1505
NRAS	7140	1999	834
NRAS	7140	1998	682
NRAS	7140	1997	346
NRAS	7140	1996	304
NRAS	7140	1995	197
NRAS	7140	1994	166
NRAS	7140	1993	181
NRAS	7140	1992	163
NRAS	7140	1991	196
NRAS	7140	1990	125
NRAS	7140	1989	60
NRAS	7140	1988	11
NRAS	7140	1987	10
NRAS	7140	1986	3
NRAS	7140	1984	1
NRAS	7140	1965	1
NRAS	7140	1964	3
NRAS	7140	1963	2
NRAS	7140	1962	1
NRAS	7140	1961	1
NRAS	7140	1960	1
NRAS	7140	1959	1
NRAS	7140	1958	2
NPM1	6551	2020	3
NPM1	6551	2019	19811
NPM1	6551	2018	30180
NPM1	6551	2017	29996
NPM1	6551	2016	28025
NPM1	6551	2015	25647
NPM1	6551	2014	22421
NPM1	6551	2013	17845
NPM1	6551	2012	16673
NPM1	6551	2011	15115
NPM1	6551	2010	13497
NPM1	6551	2009	12099
NPM1	6551	2008	10919
NPM1	6551	2007	9990
NPM1	6551	2006	8913
NPM1	6551	2005	8197
NPM1	6551	2004	6432
NPM1	6551	2003	4690
NPM1	6551	2002	3288
NPM1	6551	2001	2237
NPM1	6551	2000	1505
NPM1	6551	1999	834
NPM1	6551	1998	682
NPM1	6551	1997	346
NPM1	6551	1996	304
NPM1	6551	1995	197
NPM1	6551	1994	166
NPM1	6551	1993	181
NPM1	6551	1992	163
NPM1	6551	1991	196
NPM1	6551	1990	125
NPM1	6551	1989	60
NPM1	6551	1988	11
NPM1	6551	1987	10
NPM1	6551	1986	3
NPM1	6551	1984	1
NPM1	6551	1965	1
NPM1	6551	1964	3
NPM1	6551	1963	2
NPM1	6551	1962	1
NPM1	6551	1961	1
NPM1	6551	1960	1
NPM1	6551	1959	1
NPM1	6551	1958	2
CDKN2A	6385	2020	3
CDKN2A	6385	2019	19811
CDKN2A	6385	2018	30180
CDKN2A	6385	2017	29996
CDKN2A	6385	2016	28025
CDKN2A	6385	2015	25647
CDKN2A	6385	2014	22421
CDKN2A	6385	2013	17845
CDKN2A	6385	2012	16673
CDKN2A	6385	2011	15115
CDKN2A	6385	2010	13497
CDKN2A	6385	2009	12099
CDKN2A	6385	2008	10919
CDKN2A	6385	2007	9990
CDKN2A	6385	2006	8913
CDKN2A	6385	2005	8197
CDKN2A	6385	2004	6432
CDKN2A	6385	2003	4690
CDKN2A	6385	2002	3288
CDKN2A	6385	2001	2237
CDKN2A	6385	2000	1505
CDKN2A	6385	1999	834
CDKN2A	6385	1998	682
CDKN2A	6385	1997	346
CDKN2A	6385	1996	304
CDKN2A	6385	1995	197
CDKN2A	6385	1994	166
CDKN2A	6385	1993	181
CDKN2A	6385	1992	163
CDKN2A	6385	1991	196
CDKN2A	6385	1990	125
CDKN2A	6385	1989	60
CDKN2A	6385	1988	11
CDKN2A	6385	1987	10
CDKN2A	6385	1986	3
CDKN2A	6385	1984	1
CDKN2A	6385	1965	1
CDKN2A	6385	1964	3
CDKN2A	6385	1963	2
CDKN2A	6385	1962	1
CDKN2A	6385	1961	1
CDKN2A	6385	1960	1
CDKN2A	6385	1959	1
CDKN2A	6385	1958	2
NOTCH1	6037	2020	3
NOTCH1	6037	2019	19811
NOTCH1	6037	2018	30180
NOTCH1	6037	2017	29996
NOTCH1	6037	2016	28025
NOTCH1	6037	2015	25647
NOTCH1	6037	2014	22421
NOTCH1	6037	2013	17845
NOTCH1	6037	2012	16673
