pubmed - APC
year,count
2019,1061
2018,1253
2017,1235
2016,1251
2015,1110
2014,1096
2013,971
2012,900
2011,873
2010,916
2009,903
2008,935
2007,965
2006,798
2005,863
2004,865
2003,763
2002,868
2001,867
2000,793
1999,784
1998,652
1997,655
1996,571
1995,477
1994,403
1993,339
1992,244
1991,209
1990,183
1989,148
1988,140
1987,80
1986,83
1985,86
1984,50
1983,57
1982,30
1981,19
1980,20
1979,6
1978,15
1977,7
1976,5
1975,5
1974,1
1973,3
1972,1
1971,1
1970,1
1969,3
1966,1
1965,1
1964,2
1963,1
1962,3
1961,3
1960,3
1959,4
1958,2
1957,15
1956,32
1955,4
1952,1

