pubmed - KIT
year,count
2020,1
2019,4096
2018,4922
2017,4241
2016,4038
2015,3952
2014,3775
2013,3328
2012,3004
2011,2794
2010,2480
2009,2158
2008,2041
2007,1989
2006,1886
2005,1697
2004,1573
2003,1387
2002,1173
2001,1004
2000,967
1999,840
1998,784
1997,708
1996,689
1995,647
1994,606
1993,565
1992,469
1991,404
1990,346
1989,305
1988,242
1987,288
1986,238
1985,201
1984,220
1983,206
1982,220
1981,197
1980,205
1979,162
1978,142
1977,136
1976,128
1975,96
1974,55
1973,41
1972,27
1971,23
1970,26
1969,22
1968,14
1967,22
1966,25
1965,18
1964,11
1963,17
1962,11
1961,13
1960,16
1959,7
1958,8
1957,10
1956,4
1955,5
1954,8
1953,8
1952,3
1951,6
1950,3
1949,1
1948,2
1940,2
1936,1
1926,1
1919,1
1905,1
1901,1
1890,1
1885,1

