pubmed - TERT
year,count
2020,1
2019,1073
2018,1449
2017,1456
2016,1571
2015,1566
2014,1521
2013,1530
2012,1489
2011,1439
2010,1391
2009,1362
2008,1409
2007,1244
2006,1156
2005,1194
2004,1051
2003,1014
2002,990
2001,960
2000,790
1999,609
1998,528
1997,545
1996,512
1995,422
1994,424
1993,422
1992,387
1991,351
1990,375
1989,305
1988,271
1987,238
1986,219
1985,194
1984,174
1983,150
1982,99
1981,101
1980,90
1979,54
1978,63
1977,63
1976,75
1975,63
1974,18
1973,15
1972,22
1971,22
1970,11
1969,12
1968,5
1967,8
1966,6
1965,9
1964,4
1963,10
1962,8
1961,4
1960,7
1959,6
1958,3
1957,3
1956,3
1955,3
1954,3
1953,1
1952,1
1951,1
1950,1
1949,1
1948,7
1947,2
1946,1

