gene	count
BRAF	53957
JAK2	50768
KRAS	45698
TP53	43506
EGFR	30137
FLT3	18134
PIK3CA	15085
TERT	11733
IDH1	10422
APC	9977
KIT	9739
CTNNB1	7791
NRAS	7140
NPM1	6551
CDKN2A	6385
NOTCH1	6037
PTEN	5840
MUC16	5639
FGFR3	4691
TET2	4687
KMT2C	4488
LRP1B	4421
CALR	4371
KMT2D	4361
DNMT3A	4037
CSMD3	3958
MED12	3923
ARID1A	3755
VHL	3661
NF1	3291
ATM	3232
ASXL1	3220
FAT4	3072
FAT1	2908
SF3B1	2843
PDGFRA	2642
IDH2	2495
RET	2494
ZFHX3	2391
FBXW7	2364
MYD88	2295
ABL1	2285
PBRM1	2261
GNAS	2249
SMAD4	2182
CREBBP	2143
RB1	2126
HRAS	2114
PTPRD	2055
CEBPA	2024
